"Table 4c. Reported Voting and Registration of the Total Voting-Age Population, by Age, for States: November 2024",,,,,,,,,,,,,
,65 years and over,509,505,427,83.9,4.5,84.6,4.2,383,75.2,4.9,75.8,4.7
MISSOURI,Total,"4,790","4,664","3,707",77.4,2.8,79.5,2.7,"3,240",67.6,3.2,69.5,3.3
,18 to 24 years,523,512,283,54.2,8.1,55.3,8,215,41,8.3,41.9,8.4
,25 to 34 years,861,822,587,68.2,6.1,71.5,6,493,57.3,7.1,60,7.1
,35 to 44 years,780,745,627,80.4,4.3,84.2,4.3,540,69.3,4.5,72.5,5
,45 to 64 years,"1,449","1,416","1,198",82.6,4.6,84.6,4.4,"1,071",73.9,4.7,75.6,4.7
,65 years and over,"1,176","1,170","1,012",86,3.8,86.5,3.1,921,78.3,4.8,78.7,4
MONTANA,Total,896,881,651,72.6,2.5,73.8,2.5,610,68,2.6,69.2,2.5
,18 to 24 years,103,102,59,57.3,8.4,58.2,8.4,47,45.9,9.3,46.7,9.4
,25 to 34 years,136,132,88,65.2,6.8,67.1,6.5,82,60.7,7.4,62.5,7
,35 to 44 years,155,151,112,72.3,6.1,74.5,6.2,102,65.7,6.9,67.6,6.9
,45 to 64 years,258,255,195,75.6,3.5,76.5,3.6,185,71.5,3.6,72.4,3.7
,65 years and over,243,242,196,80.3,3.6,80.8,3.6,193,79.4,3.5,79.9,3.5
NEBRASKA,Total,"1,488","1,377","1,016",68.2,4.7,73.8,4,928,62.4,4.6,67.4,4
,18 to 24 years,180,171,90,49.7,11.4,52.5,9.6,70,39,10.5,41.3,9.5
,25 to 34 years,260,228,154,59.4,8.4,67.7,7.7,135,51.9,8.8,59,8.9
,35 to 44 years,261,224,187,71.9,6.6,83.8,6.2,175,67.2,6.9,78.4,6.3
,45 to 64 years,473,448,340,71.8,6.7,75.9,6.5,316,66.8,6.6,70.6,6.5
,65 years and over,314,307,244,77.8,4.6,79.7,4.5,231,73.6,5.1,75.4,4.6
NEVADA,Total,"2,506","2,230","1,640",65.4,3,73.5,2.6,"1,493",59.6,3.1,66.9,2.9
,18 to 24 years,248,233,124,49.9,12.2,53.2,12.2,113,45.5,12.2,48.5,12.2
,25 to 34 years,442,407,274,62.1,7.2,67.5,7.1,226,51.1,8.8,55.4,9.1
,35 to 44 years,451,360,274,60.8,6.8,76.1,6.7,235,52.3,7.3,65.4,7.9
,45 to 64 years,767,658,501,65.2,5.1,76,4.8,464,60.5,4.9,70.6,4.9
,65 years and over,599,573,467,78,4.3,81.6,4.3,454,75.9,4.3,79.3,4.2
NEW HAMPSHIRE,Total,"1,144","1,096",856,74.9,3.9,78.1,3.4,788,68.9,3.8,71.9,3.4
,18 to 24 years,112,103,74,66.5,11.3,72.1,10.7,59,52.9,12.2,57.4,11.7
,25 to 34 years,162,150,101,62.5,11,67.4,9.8,99,61.2,11,65.9,9.8
,35 to 44 years,199,188,142,71.3,7.5,75.6,7.5,136,68.3,7.5,72.4,7.5
,45 to 64 years,391,378,304,77.9,5.2,80.5,4.7,279,71.3,5.5,73.7,5.1
,65 years and over,281,278,235,83.5,4.5,84.4,4.4,216,76.8,4.8,77.6,4.8
NEW JERSEY,Total,"7,282","6,323","5,175",71.1,3.2,81.9,2.7,"4,581",62.9,3.2,72.5,2.8
,18 to 24 years,784,669,469,59.9,8.8,70.2,8.1,350,44.7,7.7,52.4,7.8
,25 to 34 years,"1,232",968,713,57.9,6.8,73.6,6.4,596,48.4,6.6,61.6,6.5
,35 to 44 years,"1,193",997,783,65.7,6.6,78.6,5.7,690,57.8,7,69.2,6.7
,45 to 64 years,"2,274","2,001","1,705",75,4.2,85.2,3.5,"1,515",66.6,4.3,75.7,3.8
,65 years and over,"1,800","1,688","1,505",83.6,3.5,89.1,3,"1,430",79.4,4.1,84.7,3.7
NEW MEXICO,Total,"1,645","1,491","1,135",69,3.4,76.1,3.3,984,59.8,3.8,66,3.7
,18 to 24 years,202,185,97,48.1,8.3,52.5,8.8,81,40.1,8.6,43.8,8.9
,25 to 34 years,269,239,164,60.8,8.1,68.5,8.2,128,47.4,9.1,53.4,9.3
,35 to 44 years,260,226,179,68.7,7,79.1,7.2,152,58.6,6.7,67.4,7.1
,45 to 64 years,489,434,343,70,5.3,78.9,4.3,297,60.8,5.5,68.4,5.2
,65 years and over,425,407,353,83.1,3.2,86.8,3,326,76.8,3.6,80.2,3.5
NEW YORK,Total,"15,392","13,667","9,051",58.8,2.5,66.2,2.7,"8,091",52.6,2.4,59.2,2.6
,18 to 24 years,"1,775","1,570",767,43.2,6.2,48.9,6.6,646,36.4,6.1,41.2,6.7
,25 to 34 years,"2,528","2,190","1,305",51.6,4.3,59.6,4.7,"1,087",43,4.4,49.6,5
,35 to 44 years,"2,605","2,216","1,423",54.6,4.8,64.2,5,"1,309",50.2,4.8,59.1,5.1
,45 to 64 years,"4,738","4,187","2,960",62.5,3.5,70.7,3.8,"2,703",57.1,3.6,64.6,4
,65 years and over,"3,745","3,504","2,596",69.3,3.6,74.1,3.6,"2,346",62.7,3.6,67,3.6
NORTH CAROLINA,Total,"8,496","7,695","5,374",63.3,2.9,69.8,2.7,"4,971",58.5,2.8,64.6,2.7
,18 to 24 years,"1,143","1,076",661,57.8,8.2,61.4,8.4,562,49.1,7.7,52.2,8.1
,25 to 34 years,"1,379","1,213",757,54.9,5.2,62.4,5.4,671,48.7,5.4,55.3,5.6
,35 to 44 years,"1,291","1,045",720,55.8,6.2,68.9,5,664,51.4,5.8,63.5,5
,45 to 64 years,"2,740","2,459","1,814",66.2,4.4,73.8,3.8,"1,703",62.2,4.2,69.2,3.7
,65 years and over,"1,943","1,902","1,423",73.2,4.2,74.8,4.2,"1,371",70.6,4.1,72.1,4.1
NORTH DAKOTA,Total,582,563,442,76,2.7,78.6,2.9,401,68.9,2.7,71.2,2.7
,18 to 24 years,68,65,40,58.1,11.7,61.2,12.1,30,43.7,9.4,46,9.9
,25 to 34 years,102,98,71,69.3,6.9,72.5,7.5,61,59.5,7.4,62.4,7.6
,35 to 44 years,116,110,85,73,5.7,76.9,5.8,75,64.5,7.1,67.9,7.1
,45 to 64 years,160,157,131,81.7,3.7,83.6,3.5,126,78.5,3.9,80.4,3.7
,65 years and over,136,134,116,85.7,3.7,86.8,3.4,110,80.9,4,81.9,3.9
OHIO,Total,"9,113","8,782","6,593",72.4,2.3,75.1,2.2,"5,922",65,2.5,67.4,2.5
,18 to 24 years,968,944,450,46.4,6.3,47.6,6.4,386,39.9,6.4,40.9,6.5
,25 to 34 years,"1,606","1,473","1,112",69.2,6.1,75.5,5.6,895,55.7,6.2,60.7,6
,35 to 44 years,"1,475","1,389","1,026",69.6,4,73.9,4.2,898,60.9,4.5,64.7,4.8
,45 to 64 years,"2,785","2,720","2,152",77.3,4.1,79.1,4,"2,012",72.2,4.2,74,4.2
,65 years and over,"2,278","2,255","1,854",81.4,3,82.2,2.9,"1,730",75.9,3.4,76.7,3.4
OKLAHOMA,Total,"3,053","2,924","2,062",67.6,3.4,70.5,3,"1,747",57.2,3.3,59.7,3.1
,18 to 24 years,464,462,215,46.3,7.6,46.6,7.7,158,34,7.7,34.2,7.8
,25 to 34 years,446,420,270,60.5,7.6,64.3,7.9,226,50.8,8.4,53.9,8.8
,35 to 44 years,540,507,351,65.1,7,69.4,6.6,294,54.4,6.7,58,6.4
,45 to 64 years,848,794,596,70.3,5,75.1,4.5,499,58.9,5.5,62.9,5.6
,65 years and over,755,742,630,83.4,4.6,84.9,4.3,570,75.5,4.8,76.8,4.7
OREGON,Total,"3,365","3,138","2,604",77.4,2.9,83,3,"2,362",70.2,2.8,75.3,2.8
,18 to 24 years,269,252,155,57.8,12.2,61.6,12.3,115,42.9,12,45.8,12.4
,25 to 34 years,625,578,451,72.2,6.2,78,6.6,393,62.9,6.8,68,6.9
,35 to 44 years,615,550,471,76.6,5.1,85.7,4.4,418,68,5.5,76,5.2
,45 to 64 years,"1,012",930,787,77.8,5.6,84.7,4.8,735,72.6,4.8,79,4.1
,65 years and over,845,828,739,87.4,3.4,89.2,3.5,701,83,3.6,84.6,3.7
PENNSYLVANIA,Total,"10,185","9,789","7,413",72.8,2.3,75.7,2.3,"6,828",67,2.4,69.7,2.3
,18 to 24 years,"1,145","1,096",668,58.3,7.4,60.9,7.4,592,51.7,6.8,54,6.8
,25 to 34 years,"1,673","1,570","1,127",67.4,4.7,71.8,4.8,979,58.5,5.2,62.4,5.3
,35 to 44 years,"1,592","1,458","1,105",69.4,5.1,75.7,5.2,"1,004",63,5.2,68.8,5.5
,45 to 64 years,"3,240","3,157","2,502",77.2,3.3,79.3,3.2,"2,364",73,3.5,74.9,3.5
,65 years and over,"2,535","2,507","2,011",79.3,3.1,80.2,3,"1,890",74.5,3.4,75.4,3.3
RHODE ISLAND,Total,888,811,645,72.6,3.5,79.5,3.2,568,64,3.9,70,4
,18 to 24 years,92,84,65,71.1,9.5,78.2,9.4,54,59.1,12.1,64.9,11.6
,25 to 34 years,176,157,126,71.9,7.1,80.4,7,108,61.2,8.2,68.4,9.2
,35 to 44 years,133,116,94,70.9,8.8,81.8,8.1,75,56.4,9.6,65.1,10.7
,45 to 64 years,241,227,175,72.9,6.3,77.3,5.9,162,67.3,6.8,71.3,6.6
,65 years and over,246,227,183,74.4,7.3,80.5,5.9,169,68.6,7.2,74.2,6.2
SOUTH CAROLINA,Total,"4,222","4,006","2,935",69.5,3.2,73.3,3,"2,510",59.5,3.2,62.7,3.2
,18 to 24 years,477,459,273,57.2,8.6,59.4,8.2,221,46.4,8.3,48.2,8.2
,25 to 34 years,642,575,376,58.6,8.2,65.5,9,284,44.2,8,49.4,8.6
,35 to 44 years,676,620,482,71.3,5.5,77.7,5.7,375,55.4,6.6,60.5,7
,45 to 64 years,"1,257","1,208",891,70.9,6.6,73.8,6.6,795,63.2,6.5,65.8,6.7
,65 years and over,"1,171","1,145",913,78,4,79.7,4.1,836,71.4,4.9,73,5.2
SOUTH DAKOTA,Total,690,669,473,68.5,3.5,70.7,3.7,394,57.1,3.7,58.9,3.8
,18 to 24 years,79,74,36,45.7,10.7,48.9,11.3,26,32.6,11.6,34.9,12.4
,25 to 34 years,104,97,60,57.9,7.7,61.9,8.5,44,41.9,7.3,44.8,7.8
,35 to 44 years,129,125,89,68.9,7,71,7.3,76,59,7.3,60.9,7.6
,45 to 64 years,196,191,136,69.3,5.4,71.4,5.2,108,54.8,8.3,56.5,7.7
,65 years and over,182,182,152,83.4,3.5,83.4,3.5,141,77.6,4.5,77.6,4.5
TENNESSEE,Total,"5,583","5,300","3,980",71.3,2.9,75.1,2.6,"3,433",61.5,2.8,64.8,2.6
,18 to 24 years,520,476,272,52.3,8.4,57.1,8.3,234,45,9.3,49.1,9.5
,25 to 34 years,"1,040",962,699,67.3,5.3,72.7,5.1,553,53.2,5.9,57.5,6.3
,35 to 44 years,982,911,661,67.3,6.2,72.6,5.9,534,54.4,5.8,58.6,5.9
,45 to 64 years,"1,746","1,665","1,286",73.6,4.1,77.2,3.8,"1,134",64.9,4.5,68.1,4.3
,65 years and over,"1,296","1,286","1,062",82,3.7,82.6,3.7,979,75.5,3.7,76.1,3.7
TEXAS,Total,"23,139","19,754","13,641",59,2.2,69.1,2.3,"11,442",49.4,2.2,57.9,2.3
,18 to 24 years,"3,109","2,768","1,554",50,4.2,56.1,4.5,"1,154",37.1,4.2,41.7,4.7
,25 to 34 years,"4,191","3,456","2,188",52.2,3.7,63.3,4.3,"1,712",40.9,4.2,49.5,5
,35 to 44 years,"4,403","3,535","2,389",54.3,3.7,67.6,3.8,"1,943",44.1,4.1,55,4.4
,45 to 64 years,"7,094","5,978","4,510",63.6,2.7,75.4,2.7,"3,948",55.7,2.7,66,2.8
,65 years and over,"4,342","4,017","3,000",69.1,3.3,74.7,3.2,"2,685",61.8,3.2,66.8,3.2
UTAH,Total,"2,505","2,324","1,736",69.3,3.1,74.7,3.1,"1,555",62.1,3.2,66.9,3.1
,18 to 24 years,397,384,234,59.1,7.3,61.1,7.4,201,50.6,7.3,52.4,7.3
,25 to 34 years,512,465,337,65.9,6.4,72.5,5.9,271,53,5.8,58.3,5.4
,35 to 44 years,454,407,295,65,5.9,72.6,5.7,271,59.6,5.8,66.6,5.5
,45 to 64 years,735,670,539,73.4,4.5,80.5,4.6,503,68.4,4.7,75,4.8
,65 years and over,408,398,330,81,4,82.9,4.2,310,76,4.6,77.8,4.7
VERMONT,Total,530,520,401,75.7,3.3,77.2,3.4,373,70.4,3.1,71.7,3.1
,18 to 24 years,38,38,29,75.8,8.8,75.8,8.8,27,69,9.4,69,9.4
,25 to 34 years,86,80,59,68.8,8.7,73.8,8.6,52,60.8,8.4,65.2,8.1
,35 to 44 years,95,93,70,73.3,6.1,75.1,6.4,63,65.7,6.1,67.3,6.3
,45 to 64 years,151,149,118,78.3,4.8,78.9,4.7,111,73.4,4.8,74,4.8
,65 years and over,159,159,125,78.5,4,78.8,4,121,75.8,4.3,76.1,4.4
VIRGINIA,Total,"6,722","6,259","4,981",74.1,2.5,79.6,2.2,"4,565",67.9,2.7,72.9,2.4
,18 to 24 years,822,763,487,59.2,7.4,63.8,7.4,405,49.2,7.7,53.1,7.9
,25 to 34 years,"1,095",983,778,71,6.5,79.1,5.5,657,60,6.2,66.9,5.8
,35 to 44 years,"1,133",992,783,69.1,6.4,78.9,5.2,707,62.4,6.6,71.3,6
,45 to 64 years,"2,104","1,986","1,693",80.5,3.2,85.2,3,"1,610",76.5,3.5,81.1,3.5
,65 years and over,"1,567","1,535","1,241",79.2,4.1,80.8,4.1,"1,186",75.7,4,77.3,3.9
WASHINGTON,Total,"6,155","5,516","4,250",69.1,3.7,77.1,3.5,"3,863",62.8,4.1,70,4
,18 to 24 years,742,698,421,56.7,8,60.2,8.3,347,46.7,12.5,49.7,13.3
,25 to 34 years,"1,144",944,731,63.9,6.3,77.4,5,648,56.7,6.2,68.7,5.2
,35 to 44 years,"1,066",876,672,63.1,6.2,76.7,5.8,594,55.7,5.8,67.8,5.6
,45 to 64 years,"1,820","1,649","1,324",72.8,4.3,80.3,4.7,"1,210",66.5,4.3,73.4,4.7
,65 years and over,"1,383","1,349","1,102",79.7,5,81.7,4.9,"1,064",76.9,4.8,78.8,4.7
WEST VIRGINIA,Total,"1,379","1,355","1,001",72.6,4.5,73.8,4.4,807,58.5,5.5,59.5,5.5
,18 to 24 years,157,151,101,64.4,7.7,67.3,7.1,73,46.6,7.4,48.7,7.9
,25 to 34 years,202,200,143,70.6,6.7,71.4,6.6,107,52.7,7.5,53.2,7.5
,35 to 44 years,195,186,138,70.7,5.6,74,5.5,109,56,6.3,58.7,6.5
,45 to 64 years,416,412,314,75.5,4.5,76.2,4.4,263,63.1,7,63.7,7
,65 years and over,408,406,305,74.7,5.6,75,5.4,255,62.6,5.7,62.8,5.5
WISCONSIN,Total,"4,629","4,431","3,380",73,3.3,76.3,3.2,"3,201",69.2,3.6,72.2,3.4
,18 to 24 years,449,432,298,66.3,13,69,13.1,285,63.4,12.3,66,12.5
,25 to 34 years,745,700,434,58.3,7.8,62,8.8,387,52,6.5,55.3,7.6
,35 to 44 years,815,770,565,69.3,7,73.4,6.2,522,64.1,7.3,67.8,6.7
,45 to 64 years,"1,483","1,410","1,161",78.3,4.2,82.4,3.8,"1,125",75.9,4.9,79.8,4.7
,65 years and over,"1,137","1,119",922,81.1,5.4,82.4,5.4,881,77.5,5.4,78.8,5.4
WYOMING,Total,453,443,307,67.8,2.8,69.3,2.5,283,62.4,2.5,63.8,2.4
,18 to 24 years,46,45,22,48.4,9.4,49.4,9.3,22,47.2,9.3,48.2,9.2
,25 to 34 years,78,75,47,60.3,6,62.8,6,41,52.2,6.1,54.3,6.1
,35 to 44 years,78,75,53,68.6,7,71.3,6.8,47,60.3,7.8,62.6,8
,45 to 64 years,121,118,80,66.5,4.5,68.1,4.5,75,61.7,4.7,63.2,4.7
,65 years and over,130,130,104,79.7,3.4,80,3.3,99,75.9,4,76.1,3.9
,,,,,,,,,,,,,
1 This figure added to or subtracted from the estimate provides the 90-percent confidence interval.,,,,,,,,,,,,,
NOTES:,,,,,,,,,,,,,
Estimates may not sum to totals due to rounding.,,,,,,,,,,,,,
"Information on confidentiality protection, sampling error, nonsampling error, and definitions is available at <https://www.census.gov/programs-surveys/cps/technical-documentation/complete.24.html>",,,,,,,,,,,,,